Component Name
merger
mindreader 2 + nodeos
mindreader 1 + nodeos
Object Store
relayer1
relayer2
eosws
search
eosq
user
trxdb-loader
fluxdb
dgraphql
Key/Value Store

Source,Target
merger,mindreader 2 + nodeos
merger,Object Store
mindreader 2 + nodeos,relayer1
mindreader 1 + nodeos,relayer2
relayer1,eosws
relayer1,search
relayer2,trxdb-loader
relayer2,fluxdb
eosws,dgraphql
search,dgraphql
trxdb-loader,Key/Value Store
fluxdb,Key/Value Store
dgraphql,Key/Value Store
dgraphql,eosq
eosq,user
merger,mindreader 1 + nodeos
eosws,relayer2
eosws,user
