Component Name
Presenter
Controller
DbProvider
OutputData
ModelBankOutputPort
ModelBankInputPort
InputData
ModelBankUseCase
ModelBankEntityGateway
FinancialInstitution
AccountHolder
Account
Consent
PaymentInstruction
PaymentTransaction

Source,Target
Presenter,ModelBankOutputPort
Presenter,OutputData
Controller,ModelBankInputPort
Controller,InputData
DbProvider,ModelBankEntityGateway
ModelBankUseCase,FinancialInstitution
ModelBankUseCase,AccountHolder
ModelBankUseCase,Account
ModelBankUseCase,Consent
ModelBankUseCase,PaymentInstruction
ModelBankUseCase,PaymentTransaction
ModelBankOutputPort,OutputData
ModelBankInputPort,InputData
ModelBankEntityGateway,FinancialInstitution
ModelBankEntityGateway,AccountHolder
ModelBankEntityGateway,Account
ModelBankEntityGateway,Consent
ModelBankEntityGateway,PaymentInstruction
ModelBankEntityGateway,PaymentTransaction
