Component Name
main
SourceAndSink
MQTTSender
MQTTSubscriber
MQTT
Gas
Light
Temperature
Altitude
Humidity
Pressure
GasPhysicalSensorX
LightPhysicalSensorX
TemperaturePhysicalSensorX
AltitudePhysicalSensorX
HumidityPhysicalSensorX
PressurePhysicalSensorX
ProbePhysicalSensorX
Probe
SensorType

Source,Target
main,SourceAndSink
SourceAndSink,MQTTSender
SourceAndSink,MQTTSubscriber
MQTTSubscriber,MQTT
MQTTSender,MQTT
SourceAndSink,SensorType
Gas,SensorType
Light,SensorType
Temperature,SensorType
Altitude,SensorType
Humidity,SensorType
Pressure,SensorType
GasPhysicalSensorX,Gas
LightPhysicalSensorX,Light
TemperaturePhysicalSensorX,Temperature
AltitudePhysicalSensorX,Altitude
HumidityPhysicalSensorX,Humidity
PressurePhysicalSensorX,Pressure
ProbePhysicalSensorX,GasPhysicalSensorX
ProbePhysicalSensorX,LightPhysicalSensorX
ProbePhysicalSensorX,TemperaturePhysicalSensorX
ProbePhysicalSensorX,AltitudePhysicalSensorX
ProbePhysicalSensorX,HumidityPhysicalSensorX
ProbePhysicalSensorX,PressurePhysicalSensorX
ProbePhysicalSensorX,Probe
TemperaturePhysicalSensorX,PressurePhysicalSensorX
