Metric,Comparison,Kruskal-Wallis H,Kruskal-Wallis p-value,Dunn p-value (Bonferroni),Significant (α=0.05),Cliffs Delta (δ),Effect Size Interpretation
Clarity,ArchView vs Few-Shot (Claude),197.612783,0.000000,0.266443,No,0.089293,negligible
Clarity,ArchView vs GPA (Claude Code),197.612783,0.000000,0.000000,Yes,0.493590,large
Clarity,ArchView vs One-Shot (DeepSeek),197.612783,0.000000,0.305814,No,0.084202,negligible
Clarity,ArchView vs Zero-Shot (Claude),197.612783,0.000000,0.000037,Yes,0.179948,small
Completeness,ArchView vs Few-Shot (Claude),16.347766,0.002586,0.003555,Yes,-0.113445,negligible
Completeness,ArchView vs GPA (Claude Code),16.347766,0.002586,1.000000,No,-0.023466,negligible
Completeness,ArchView vs One-Shot (DeepSeek),16.347766,0.002586,0.343287,No,-0.065798,negligible
Completeness,ArchView vs Zero-Shot (Claude),16.347766,0.002586,1.000000,No,-0.018462,negligible
Consistency,ArchView vs Few-Shot (Claude),37.615275,0.000000,0.019773,Yes,0.096589,negligible
Consistency,ArchView vs GPA (Claude Code),37.615275,0.000000,0.000000,Yes,0.175081,small
Consistency,ArchView vs One-Shot (DeepSeek),37.615275,0.000000,0.977466,No,0.050260,negligible
Consistency,ArchView vs Zero-Shot (Claude),37.615275,0.000000,0.001305,Yes,0.116923,negligible
Accuracy,ArchView vs Few-Shot (Claude),16.022627,0.002989,1.000000,No,0.193182,small
Accuracy,ArchView vs GPA (Claude Code),16.022627,0.002989,0.005812,Yes,0.516529,large
Accuracy,ArchView vs One-Shot (DeepSeek),16.022627,0.002989,1.000000,No,0.000000,negligible
Accuracy,ArchView vs Zero-Shot (Claude),16.022627,0.002989,1.000000,No,0.129187,negligible
